1307,OBRAČUN NABAVKE
02239,******* OSTALA  OPREMA
0170,AVANSI ZA NEMATERIJALNA SREDSTVA
5120,UTROŠENA ENERGIJA
20099,*TEKUĆI HVB CPB (ZA POTREBE KARTICE 20090)
1030,SITAN INVENTAR U UPOTREBI
5130,UTROŠENI REZERVNI DIJELOVI
5142,OTPIS SITNOG INVENTARA
5310,TROŠKOVI TRANSPORTNIH USLUGA
5540,TROŠKOVI POŠTANSKIH USLUGA
5544,INTERNET INFRASTRUKTURA
5320,TROŠKOVI USLUGA ODRŽAVANJA GRAĐEVINA
5321,TROŠKOVI ODVOZA SMEĆA
4500,OBAVEZE NETO PLATE
4515,OBAVEZE ZA POREZ I POSEBNE DAŽBINE NA PLAĆE I NAKNADE
4519,OBAVEZE ZA POREZ I POSEBNE DAŽBINE NA PLAĆE I NAKNADE
5330,TROŠKOVI ZAKUPNINA I NAJMNINA
5350,TROŠKOVI REKLAMA SPONZORSTVA
539958,TROŠKOVI OSTALIH USLUGA
5397,TROŠKOVI OSTALIH USLUGA
53915,TROŠKOVI OSTALIH USLUGA
5394,TROŠKOVI OSTALIH USLUGA
5230,TAKSE AUTOPUT
5280,TOPLI OBROK ZAPOSLENI
5141,OTPIS SITNOG INVENTARA
02230,****** RAČUNARSKA I TELEKOM OPREMA
3606,OTKUPLJENE VLASTITE DIONICE I UDJELI
360,OTKUPLJENE VLASTITE DIONICE I UDJELI
00,POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL
5249,TROŠKOVI OSTALIH PRIMANJA NAKNADA I MATERIJALNIH PRAVA
5510,TROŠKOVI REPREZENTACIJE
5520,TROŠKOVI OSIGURANJA
55601,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
5560,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
55691,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
5531,BANKARSKE USLUGE
4491,OSTALE OBAVEZE IZ SPECIFIČNIH POSLOVA
4830,DOPRINOSI ČLANARINE I DRUGA DAVANJA
6151,POZITIVNE KURSNE RAZLIKE
48301,DOPRINOSI ČLANARINE I DRUGA DAVANJA
5392,TROŠKOVI OSTALIH USLUGA
481899,OBAVEZE ZA POREZ NA DOBIT
5569,VODOPRIVREDA
5200,NETO PLATE
5218,TROŠKOVI NAKNADA PLAĆA
3700,RASPORED TROSKOVA U OBRACUNU POSL.REZULTATA
0140,OSTALA NEMATERIJALNA SREDSTVA
53900,TROŠKOVI OSTALIH USLUGA
23291,POTRAŽIVANJA OD ZAPOSLENIKA
205,BLAGAJNE DOMAĆA VALUTA
201,TRANSAKCIJSKI RAČUNI INOSTRANA VALUTA
602,PRIHODI OD PRODAJE ROBE NA INOSTRANOM TRŽIŠTU
13051,OSTALI TROS.NABAVKE
6340,PRIHODI OD NAPLATE ŠTETE OD OSIGURAVAJUĆIH DRUŠTAVA
020,ZEMLJIŠTE
021,GRAĐEVINSKI OBJEKTI
026,STAMBENE ZGRADE I STANOVI
1330,ROBA U MALOPRODAJNIM OBJEKTIMA
0211,TVORNIČKE HALE
025,NEKRETNINE POSTROJENJA I OPREMA U PRIPREMI
6522,NABAVNA VRIJEDNOST PRODATE ROBE IZ PRODAVNICA
0200,POLJOPRIVREDNA ZEMLJIŠTA
029,ISPRAVKA VRIJEDNOSTI NEKRETNINA POSTROJENJA I OPREME
022,POSTROJENJA I OPREMA (MAŠINE)
0220,MAŠINE I POSTROJENJA
0221,TRANSPORTNA SREDSTVA
0223,ALAT I INVENTAR
6520,NABAVNA VRIJEDNOST PRODATE ROBE SA SKLADIŠTA
1371,UKALKULISANA RAZLIKA U PRODAVNICAMA
4271,KRATKOROČNE OBAVEZE PO FER VRIJEDNOSTI KROZ RAČUN DOBITI
